"customer_id","signup_date","customer_segment","region","acquisition_channel"
"C00138",2023-04-08,"New","South","Ads"
"C00139",2024-06-20,"Returning","West","Organic"
"C00140",2023-12-14,"New","West","Ads"
"C00141",2023-04-17,"Loyal","North","Ads"
"C00142",2023-11-13,"Returning","North","Organic"
"C00143",2023-01-14,"Returning","North","Organic"
"C00144",2023-06-11,"New","South","Organic"
"C00145",2024-09-27,"Returning","North","Organic"
"C00146",2024-12-06,"Returning","North","Ads"
"C00147",2024-08-29,"New","South","Organic"
"C00148",2024-06-27,"New","North","Ads"
"C00149",2024-11-27,"Returning","South","Organic"
"C00150",2024-09-21,"Loyal","North","Organic"
"C00151",2023-02-06,"New","South","Ads"
"C00152",2023-05-18,"Loyal","West","Referral"
"C00153",2024-01-04,"New","North","Organic"
"C00154",2024-06-30,"Loyal","West","Ads"
"C00155",2023-03-19,"New","East","Organic"
"C00156",2024-06-09,"New","South","Organic"
"C00157",2024-10-29,"New","West","Organic"
"C00158",2023-04-07,"Returning","South","Ads"
"C00159",2024-04-27,"New","West","Ads"
"C00160",2023-07-01,"New","West","Organic"
"C00161",2024-04-18,"New","North","Ads"
"C00162",2023-05-07,"New","North","Organic"
"C00163",2024-05-07,"New","West","Ads"
"C00164",2024-07-08,"New","South","Organic"
"C00165",2024-11-22,"New","West","Ads"
"C00166",2024-05-20,"Loyal","North","Ads"
"C00167",2023-12-03,"New","North","Organic"
"C00168",2024-06-22,"New","North","Ads"
"C00169",2024-06-25,"New","West","Ads"
"C00170",2023-06-29,"Returning","North","Referral"
"C00171",2023-07-31,"New","North","Organic"
"C00172",2024-08-09,"New","North","Ads"
"C00173",2023-07-20,"New","North","Ads"
"C00174",2024-02-05,"New","South","Referral"
"C00175",2023-03-03,"New","North","Ads"
"C00176",2023-09-26,"New","South","Ads"
"C00177",2024-01-17,"New","South","Referral"
"C00178",2023-05-04,"New","West","Organic"
"C00179",2023-03-04,"New","North","Ads"
"C00180",2024-07-14,"Loyal","East","Referral"
"C00181",2024-07-26,"Returning","South","Ads"
"C00182",2024-09-19,"New","North","Ads"
"C00183",2024-06-23,"New","West","Ads"
"C00184",2023-01-02,"New","West","Ads"
"C00185",2024-11-01,"New","West","Referral"
"C00186",2024-10-09,"New","East","Referral"
"C00187",2023-05-07,"New","South","Organic"
"C00188",2023-07-27,"New","North","Ads"
"C00189",2023-09-26,"New","South","Ads"
"C00190",2023-01-12,"New","South","Organic"
"C00191",2024-12-05,"Returning","North","Ads"
"C00192",2024-10-31,"Returning","East","Referral"
"C00193",2024-07-16,"New","South","Organic"
"C00194",2024-03-19,"New","East","Ads"
"C00195",2024-11-07,"Returning","West","Ads"
"C00196",2024-07-12,"Returning","East","Organic"
"C00197",2023-07-17,"Returning","North","Ads"
"C00198",2023-01-10,"New","South","Ads"
"C00199",2023-09-12,"New","West","Referral"
"C00200",2023-07-20,"Loyal","South","Organic"
"C00201",2024-05-29,"Loyal","West","Ads"
"C00202",2023-06-30,"Returning","West","Ads"
"C00203",2023-10-11,"New","West","Referral"
"C00204",2024-04-07,"New","East","Organic"
"C00205",2024-08-27,"Loyal","East","Referral"
"C00206",2023-11-09,"New","East","Ads"
"C00207",2023-03-25,"Returning","West","Organic"
"C00208",2024-04-08,"New","South","Ads"
"C00209",2023-08-13,"Returning","North","Ads"
"C00210",2024-07-26,"New","East","Ads"
"C00211",2023-04-12,"Returning","West","Organic"
"C00212",2023-06-20,"Loyal","North","Organic"
"C00213",2024-05-03,"New","East","Referral"
"C00214",2024-10-23,"New","North","Referral"
"C00215",2024-11-24,"Returning","South","Ads"
"C00216",2024-07-20,"New","South","Referral"
"C00217",2024-07-19,"Returning","North","Ads"
"C00218",2024-11-15,"New","North","Ads"
"C00219",2024-02-25,"New","North","Organic"
"C00220",2024-07-08,"New","West","Ads"
"C00221",2023-07-26,"New","West","Ads"
"C00222",2023-03-26,"New","North","Ads"
"C00223",2023-06-02,"Loyal","West","Ads"
"C00224",2023-08-28,"New","South","Ads"
"C00225",2023-02-18,"Returning","North","Organic"
"C00226",2023-05-19,"New","North","Organic"
"C00227",2023-06-05,"Loyal","North","Organic"
"C00228",2023-10-01,"New","West","Organic"
"C00229",2024-07-20,"New","East","Organic"
"C00230",2023-08-14,"New","West","Organic"
"C00231",2023-06-19,"Loyal","North","Organic"
"C00232",2023-10-19,"New","South","Referral"
"C00233",2023-05-28,"New","North","Ads"
"C00234",2024-12-19,"Returning","South","Organic"
"C00235",2023-07-08,"Loyal","South","Ads"
"C00236",2023-04-23,"Loyal","West","Ads"
"C00237",2023-01-27,"New","South","Ads"
"C00238",2024-08-28,"Returning","South","Organic"
"C00239",2024-10-06,"New","North","Organic"
"C00240",2023-03-27,"New","South","Ads"
"C00241",2024-09-17,"New","North","Organic"
"C00242",2023-09-07,"New","North","Organic"
"C00243",2023-06-18,"New","North","Ads"
"C00244",2024-07-03,"Returning","West","Ads"
"C00245",2023-12-28,"New","South","Ads"
"C00246",2024-04-01,"Loyal","North","Organic"
"C00247",2023-04-25,"New","North","Ads"
"C00248",2023-08-01,"New","North","Ads"
"C00249",2023-10-19,"New","West","Organic"
"C00250",2024-03-01,"New","West","Organic"
"C00251",2023-08-02,"New","North","Ads"
"C00252",2024-03-13,"Loyal","West","Referral"
"C00253",2024-09-16,"Returning","East","Ads"
"C00254",2024-06-25,"New","West","Ads"
"C00255",2024-11-29,"Loyal","North","Ads"
"C00256",2024-04-13,"Loyal","North","Ads"
"C00257",2024-07-12,"New","South","Ads"
"C00258",2023-04-15,"New","West","Organic"
"C00259",2023-07-21,"Returning","West","Organic"
"C00260",2023-03-29,"New","West","Ads"
"C00261",2024-01-05,"New","South","Ads"
"C00262",2024-01-26,"Loyal","East","Organic"
"C00263",2024-02-02,"Returning","North","Organic"
"C00264",2023-09-25,"Returning","South","Ads"
"C00265",2024-11-23,"New","West","Organic"
"C00266",2024-06-05,"New","South","Organic"
"C00267",2023-05-01,"New","East","Ads"
"C00268",2024-08-23,"New","West","Organic"
"C00269",2023-02-06,"Returning","South","Ads"
"C00270",2024-12-06,"Returning","West","Ads"
"C00271",2023-06-12,"New","West","Ads"
"C00272",2024-02-22,"Returning","West","Ads"
"C00273",2023-02-15,"Returning","South","Organic"
"C00274",2023-10-14,"Returning","South","Organic"
"C00275",2024-04-08,"New","South","Ads"
"C00276",2024-01-11,"Loyal","North","Ads"
"C00277",2023-10-07,"Returning","North","Ads"
"C00278",2024-02-08,"New","East","Organic"
"C00279",2024-12-15,"New","South","Ads"
"C00280",2023-08-13,"New","North","Organic"
"C00281",2024-01-14,"Loyal","North","Organic"
"C00282",2023-07-25,"New","West","Ads"
"C00283",2023-12-14,"New","North","Organic"
"C00284",2024-08-27,"Returning","West","Ads"
"C00285",2023-10-28,"Loyal","South","Ads"
"C00286",2023-12-24,"Returning","West","Organic"
"C00287",2024-11-14,"Loyal","East","Ads"
"C00288",2024-10-08,"New","West","Organic"
"C00289",2023-06-08,"New","East","Organic"
"C00290",2024-10-14,"New","East","Organic"
"C00291",2024-01-13,"New","South","Referral"
"C00292",2024-06-25,"New","South","Organic"
"C00293",2023-02-23,"New","East","Ads"
"C00294",2024-05-28,"Loyal","East","Referral"
"C00295",2024-06-23,"New","North","Ads"
"C00296",2024-01-22,"New","North","Ads"
"C00297",2024-09-14,"New","East","Referral"
"C00298",2023-07-31,"New","East","Ads"
"C00299",2023-09-22,"New","West","Ads"
"C00300",2023-05-18,"Returning","South","Ads"
"C00301",2024-12-11,"Returning","West","Ads"
"C00302",2024-09-18,"New","South","Organic"
"C00303",2024-08-16,"Loyal","West","Organic"
"C00304",2024-02-13,"New","East","Referral"
"C00305",2024-09-11,"Loyal","North","Organic"
"C00306",2023-07-21,"New","East","Organic"
"C00307",2023-03-14,"New","East","Organic"
"C00308",2024-10-20,"New","South","Ads"
"C00309",2023-12-01,"New","West","Ads"
"C00310",2023-02-15,"Returning","East","Ads"
"C00311",2023-09-04,"New","West","Ads"
"C00312",2023-05-11,"Loyal","East","Organic"
"C00313",2023-05-30,"New","West","Ads"
"C00314",2023-03-02,"Returning","South","Organic"
"C00315",2023-01-20,"New","North","Organic"
"C00316",2024-11-12,"New","West","Organic"
"C00317",2023-12-20,"New","North","Ads"
"C00318",2024-06-12,"New","North","Ads"
"C00319",2023-03-23,"New","South","Referral"
"C00320",2023-07-30,"New","South","Ads"
"C00321",2023-06-23,"Loyal","North","Organic"
"C00322",2023-09-30,"New","North","Organic"
"C00323",2023-04-04,"New","North","Organic"
"C00324",2023-11-26,"New","North","Referral"
"C00325",2024-03-04,"New","North","Organic"
"C00326",2024-11-20,"Loyal","South","Organic"
"C00327",2023-06-28,"Returning","North","Organic"
"C00328",2023-03-15,"Returning","East","Organic"
"C00329",2023-10-31,"New","East","Ads"
"C00330",2024-04-17,"New","North","Organic"
"C00331",2023-12-12,"Returning","East","Organic"
"C00332",2023-08-19,"Returning","West","Ads"
"C00333",2024-01-01,"Returning","North","Ads"
"C00334",2023-04-26,"Loyal","West","Referral"
"C00335",2024-12-26,"New","North","Organic"
"C00336",2023-04-18,"New","West","Referral"
"C00337",2024-10-20,"New","South","Ads"
"C00338",2023-11-22,"Loyal","North","Referral"
"C00339",2024-08-23,"New","East","Organic"
"C00340",2024-06-25,"Returning","West","Ads"
"C00341",2024-09-09,"New","South","Organic"
"C00342",2023-04-13,"Returning","East","Ads"
"C00343",2023-12-11,"Returning","East","Referral"
"C00344",2023-09-15,"New","South","Referral"
"C00345",2024-01-28,"New","South","Ads"
"C00346",2023-07-03,"Loyal","West","Ads"
"C00347",2024-01-25,"New","North","Ads"
"C00348",2023-07-16,"New","South","Ads"
"C00349",2024-10-15,"New","North","Referral"
"C00350",2023-07-11,"New","West","Organic"
"C00351",2024-07-12,"New","East","Organic"
"C00352",2023-07-12,"Returning","South","Organic"
"C00353",2024-02-29,"Returning","West","Ads"
"C00354",2023-02-18,"New","South","Organic"
"C00355",2024-04-04,"New","East","Referral"
"C00356",2023-01-22,"New","East","Ads"
"C00357",2024-01-12,"New","South","Ads"
"C00358",2023-05-12,"Returning","South","Organic"
"C00359",2024-08-01,"New","West","Organic"
"C00360",2023-07-06,"New","South","Ads"
"C00361",2023-02-22,"Returning","West","Organic"
"C00362",2024-09-28,"New","North","Ads"
"C00363",2023-02-28,"New","North","Ads"
"C00364",2024-11-12,"New","East","Ads"
"C00365",2024-12-02,"Returning","East","Referral"
"C00366",2024-02-08,"New","West","Ads"
"C00367",2023-06-11,"New","West","Ads"
"C00368",2023-03-28,"Loyal","East","Organic"
"C00369",2023-08-16,"New","North","Organic"
"C00370",2024-07-22,"New","South","Organic"
"C00371",2024-10-21,"New","East","Ads"
"C00372",2024-06-22,"New","East","Organic"
"C00373",2023-06-23,"Loyal","North","Organic"
"C00374",2023-06-23,"New","South","Organic"
"C00375",2023-01-03,"Returning","East","Organic"
"C00376",2024-08-29,"New","West","Ads"
"C00377",2024-12-03,"Returning","East","Ads"
"C00378",2024-02-06,"New","West","Organic"
"C00379",2023-05-18,"Returning","North","Ads"
"C00380",2024-04-25,"Returning","South","Referral"
"C00381",2024-08-18,"Loyal","South","Organic"
"C00382",2024-10-30,"Returning","East","Organic"
"C00383",2024-12-08,"New","South","Organic"
"C00384",2024-04-19,"New","North","Organic"
"C00385",2023-06-17,"New","North","Organic"
"C00386",2023-03-28,"New","South","Organic"
"C00387",2024-05-10,"Returning","East","Ads"
"C00388",2023-08-06,"New","West","Referral"
"C00389",2023-11-28,"New","West","Ads"
"C00390",2023-07-21,"Loyal","East","Organic"
"C00391",2023-04-20,"Returning","East","Ads"
"C00392",2023-04-29,"New","West","Organic"
"C00393",2024-09-10,"Returning","South","Organic"
"C00394",2024-12-27,"New","East","Organic"
"C00395",2023-02-23,"New","North","Organic"
"C00396",2024-07-22,"New","North","Ads"
"C00397",2023-01-27,"Loyal","West","Referral"
"C00398",2023-08-14,"New","North","Organic"
"C00399",2024-08-14,"New","North","Organic"
"C00400",2023-04-20,"Loyal","South","Ads"
"C00401",2024-12-29,"New","East","Ads"
"C00402",2024-06-10,"New","West","Ads"
"C00403",2023-01-23,"Returning","North","Ads"
"C00404",2023-11-13,"New","North","Ads"
"C00405",2023-12-05,"New","North","Referral"
"C00406",2023-05-21,"Returning","West","Ads"
"C00407",2024-07-27,"New","South","Referral"
"C00408",2023-09-24,"Loyal","East","Organic"
"C00409",2023-12-31,"New","East","Organic"
"C00410",2024-08-08,"New","East","Ads"
"C00411",2023-05-03,"New","West","Ads"
"C00412",2024-05-07,"Loyal","West","Organic"
"C00413",2023-12-03,"New","West","Ads"
"C00414",2024-01-02,"Returning","East","Ads"
"C00415",2023-04-10,"New","West","Ads"
"C00416",2024-12-10,"New","East","Ads"
"C00417",2024-04-02,"New","East","Ads"
"C00418",2024-08-25,"Returning","East","Ads"
"C00419",2023-07-31,"New","East","Organic"
"C00420",2024-05-18,"New","South","Organic"
"C00421",2023-10-08,"New","West","Ads"
"C00422",2024-05-25,"Loyal","South","Organic"
"C00423",2024-06-19,"Loyal","North","Ads"
"C00424",2024-08-14,"New","East","Ads"
"C00425",2024-06-11,"Returning","North","Ads"
"C00426",2023-01-03,"New","West","Ads"
"C00427",2023-08-12,"Returning","West","Ads"
"C00428",2023-05-29,"New","East","Ads"
"C00429",2023-07-14,"Returning","East","Organic"
"C00430",2024-06-05,"New","North","Ads"
"C00431",2023-12-07,"New","East","Referral"
"C00432",2024-10-08,"New","North","Ads"
"C00433",2024-10-20,"Returning","West","Ads"
"C00434",2023-10-28,"New","West","Referral"
"C00435",2023-06-19,"Returning","North","Ads"
"C00436",2024-01-10,"New","East","Ads"
"C00437",2024-11-16,"New","North","Ads"
"C00438",2024-02-12,"Returning","South","Ads"
"C00439",2024-05-18,"New","South","Organic"
"C00440",2023-06-07,"New","West","Organic"
"C00441",2024-09-10,"New","North","Ads"
"C00442",2023-08-15,"Returning","West","Ads"
"C00443",2024-07-07,"Returning","North","Organic"
"C00444",2023-04-08,"Returning","East","Referral"
"C00445",2024-02-27,"New","West","Organic"
"C00446",2023-08-01,"New","South","Organic"
"C00447",2023-11-05,"Loyal","East","Referral"
"C00448",2024-03-02,"Loyal","East","Referral"
"C00449",2024-11-13,"New","East","Ads"
"C00450",2023-01-26,"New","South","Organic"
"C00451",2023-04-07,"Returning","West","Organic"
"C00452",2023-04-27,"New","South","Organic"
"C00453",2024-10-07,"New","West","Ads"
"C00454",2024-02-29,"Loyal","South","Organic"
"C00455",2023-09-09,"Returning","South","Ads"
"C00456",2024-03-19,"New","North","Organic"
"C00457",2024-11-15,"New","East","Ads"
"C00458",2024-04-10,"New","North","Organic"
"C00459",2023-03-26,"New","South","Referral"
"C00460",2023-02-02,"New","East","Organic"
"C00461",2023-04-14,"New","South","Ads"
"C00462",2024-11-15,"New","North","Ads"
"C00463",2024-02-02,"Returning","North","Ads"
"C00464",2023-05-10,"New","West","Ads"
"C00465",2023-10-28,"Loyal","West","Referral"
"C00466",2023-09-13,"New","West","Referral"
"C00467",2023-05-06,"New","South","Ads"
"C00468",2024-06-30,"Loyal","North","Organic"
"C00469",2023-06-05,"New","West","Ads"
"C00470",2024-07-10,"New","West","Organic"
"C00471",2023-05-24,"New","North","Organic"
"C00472",2024-04-08,"New","West","Ads"
"C00473",2023-08-25,"Returning","West","Organic"
"C00474",2023-05-16,"Returning","North","Organic"
"C00475",2023-09-06,"Returning","East","Organic"
"C00476",2024-05-17,"New","East","Organic"
"C00477",2024-09-05,"New","South","Ads"
"C00478",2023-04-12,"New","North","Ads"
"C00479",2023-04-05,"New","North","Ads"
"C00480",2023-09-13,"Loyal","East","Organic"
"C00481",2023-08-21,"Returning","South","Ads"
"C00482",2024-06-05,"Returning","South","Ads"
"C00483",2024-01-14,"Returning","East","Organic"
"C00484",2023-07-07,"Loyal","West","Organic"
"C00485",2023-11-27,"Loyal","West","Organic"
"C00486",2023-06-10,"New","West","Ads"
"C00487",2023-08-02,"New","West","Referral"
"C00488",2023-09-28,"New","East","Organic"
"C00489",2023-03-09,"New","East","Ads"
"C00490",2024-09-06,"New","East","Referral"
"C00491",2024-05-05,"New","North","Organic"
"C00492",2023-05-18,"New","East","Referral"
"C00493",2024-12-12,"New","North","Organic"
"C00494",2023-08-11,"New","North","Ads"
"C00495",2023-12-21,"Loyal","North","Ads"
"C00496",2024-11-15,"Returning","South","Ads"
"C00497",2023-03-25,"New","East","Organic"
"C00498",2024-11-25,"New","West","Organic"
"C00499",2023-04-30,"New","South","Ads"
"C00500",2024-11-18,"New","West","Ads"
"C00501",2023-01-08,"New","West","Ads"
"C00502",2023-04-15,"Loyal","West","Ads"
"C00503",2023-06-25,"Loyal","East","Referral"
"C00504",2024-08-09,"New","North","Referral"
"C00505",2023-05-21,"New","South","Ads"
"C00506",2023-04-13,"Loyal","East","Referral"
"C00507",2024-06-13,"New","North","Ads"
"C00508",2023-12-07,"New","East","Organic"
"C00509",2023-05-13,"Returning","East","Organic"
"C00510",2024-06-26,"Returning","West","Referral"
"C00511",2023-11-08,"New","South","Organic"
"C00512",2024-06-15,"New","South","Ads"
"C00513",2024-12-22,"Loyal","West","Ads"
"C00514",2023-04-13,"Returning","North","Organic"
"C00515",2024-12-07,"New","West","Ads"
"C00516",2023-09-21,"New","East","Organic"
"C00517",2023-10-02,"Loyal","West","Ads"
"C00518",2023-04-24,"New","West","Referral"
"C00519",2023-09-23,"New","East","Organic"
"C00520",2023-07-26,"New","North","Ads"
"C00521",2023-09-25,"New","West","Organic"
"C00522",2023-06-12,"New","North","Ads"
"C00523",2024-11-22,"Returning","West","Organic"
"C00524",2024-09-15,"Returning","South","Referral"
"C00525",2023-02-01,"New","West","Organic"
"C00526",2024-12-01,"New","East","Referral"
"C00527",2024-07-19,"New","West","Organic"
"C00528",2024-05-04,"New","East","Referral"
"C00529",2024-02-22,"New","East","Ads"
"C00530",2024-05-02,"New","North","Organic"
"C00531",2024-10-02,"Returning","North","Organic"
"C00532",2024-04-05,"Returning","East","Ads"
"C00533",2024-06-02,"Loyal","South","Organic"
"C00534",2023-07-22,"Loyal","South","Referral"
"C00535",2023-01-11,"New","South","Referral"
"C00536",2024-08-11,"New","East","Ads"
"C00537",2024-09-04,"Returning","West","Organic"
"C00538",2023-05-23,"New","East","Organic"
"C00539",2023-02-06,"New","West","Organic"
"C00540",2024-02-02,"Returning","North","Ads"
"C00541",2024-04-29,"Loyal","South","Organic"
"C00542",2023-09-13,"Loyal","North","Referral"
"C00543",2023-12-12,"New","East","Referral"
"C00544",2024-11-19,"Returning","West","Organic"
"C00545",2024-02-16,"New","East","Organic"
"C00546",2024-12-22,"New","West","Ads"
"C00547",2024-09-21,"Returning","South","Referral"
"C00548",2023-09-30,"Returning","North","Organic"
"C00549",2023-02-08,"Returning","East","Ads"
"C00550",2024-02-22,"New","South","Ads"
"C00551",2023-07-23,"New","East","Ads"
"C00552",2023-08-10,"Returning","North","Ads"
"C00553",2023-06-12,"New","South","Ads"
"C00554",2024-10-21,"Returning","South","Organic"
"C00555",2024-04-18,"New","South","Organic"
"C00556",2024-06-03,"Loyal","East","Organic"
"C00557",2023-10-03,"New","West","Organic"
"C00558",2024-10-29,"Returning","West","Organic"
"C00559",2024-01-01,"New","North","Organic"
"C00560",2023-04-07,"New","East","Ads"
"C00561",2024-11-26,"New","East","Organic"
"C00562",2024-07-11,"Returning","East","Referral"
"C00563",2023-12-07,"New","West","Ads"
"C00564",2023-07-03,"New","North","Ads"
"C00565",2024-09-01,"New","South","Organic"
"C00566",2023-11-14,"New","North","Organic"
"C00567",2023-03-10,"New","South","Organic"
"C00568",2024-03-01,"New","North","Organic"
"C00569",2023-09-25,"Returning","South","Ads"
"C00570",2023-09-16,"New","East","Ads"
"C00571",2024-01-13,"Returning","East","Referral"
"C00572",2023-01-18,"Returning","East","Organic"
"C00573",2023-08-30,"Returning","West","Organic"
"C00574",2023-06-27,"New","East","Referral"
"C00575",2024-01-27,"Returning","North","Referral"
"C00576",2024-09-18,"Loyal","East","Ads"
"C00577",2024-05-02,"Loyal","North","Ads"
"C00578",2024-06-25,"New","North","Ads"
"C00579",2023-05-28,"New","North","Referral"
"C00580",2024-11-04,"New","North","Ads"
"C00581",2024-03-23,"Returning","North","Organic"
"C00582",2023-10-04,"New","North","Organic"
"C00583",2023-06-29,"Loyal","East","Referral"
"C00584",2023-03-24,"Returning","West","Ads"
"C00585",2024-09-28,"New","North","Organic"
"C00586",2024-05-20,"New","South","Ads"
"C00587",2024-08-16,"New","South","Ads"
"C00588",2023-02-09,"Returning","South","Ads"
"C00589",2023-06-06,"New","East","Referral"
"C00590",2024-02-22,"New","South","Organic"
"C00591",2023-08-03,"New","North","Ads"
"C00592",2023-08-24,"Returning","North","Organic"
"C00593",2024-01-10,"New","North","Organic"
"C00594",2024-10-21,"New","East","Ads"
"C00595",2024-11-21,"New","West","Ads"
"C00596",2023-10-22,"Loyal","South","Organic"
"C00597",2024-06-04,"Loyal","East","Organic"
"C00598",2024-12-02,"Returning","South","Ads"
"C00599",2024-06-14,"Loyal","East","Organic"
"C00600",2023-01-21,"New","West","Ads"
"C00601",2023-12-29,"New","South","Ads"
"C00602",2024-05-06,"New","North","Ads"
"C00603",2024-01-07,"New","North","Ads"
"C00604",2024-11-19,"Returning","West","Referral"
"C00605",2024-09-18,"New","West","Ads"
"C00606",2023-11-17,"New","South","Ads"
"C00607",2023-04-02,"New","South","Ads"
